Presidency,President,Tookoffice,Leftoffice,Party,HomeState
1,GeorgeWashington,30/04/1789,4/03/1797,Independent,Virginia
2,JohnAdams,4/03/1797,4/03/1801,Federalist,Massachusetts
3,ThomasJefferson,4/03/1801,4/03/1809,Democratic-Republican,Virginia
4,JamesMadison,4/03/1809,4/03/1817,Democratic-Republican,Virginia
5,JamesMonroe,4/03/1817,4/03/1825,Democratic-Republican,Virginia
6,JohnQuincyAdams,4/03/1825,4/03/1829,Democratic-Republican/NationalRepublican,Massachusetts
7,AndrewJackson,4/03/1829,4/03/1837,Democratic,Tennessee
8,MartinVanBuren,4/03/1837,4/03/1841,Democratic,NewYork
9,WilliamHenryHarrison,4/03/1841,4/04/1841,Whig,Ohio
10,JohnTyler,4/04/1841,4/03/1845,Whig,Virginia
11,JamesK.Polk,4/03/1845,4/03/1849,Democratic,Tennessee
12,ZacharyTaylor,4/03/1849,9/07/1850,Whig,Louisiana
13,MillardFillmore,9/07/1850,4/03/1853,Whig,NewYork
14,FranklinPierce,4/03/1853,4/03/1857,Democratic,NewHampshire
15,JamesBuchanan,4/03/1857,4/03/1861,Democratic,Pennsylvania
16,AbrahamLincoln,4/03/1861,15/04/1865,Republican/NationalUnion,Illinois
17,AndrewJohnson,15/04/1865,4/03/1869,Democratic/NationalUnion,Tennessee
18,UlyssesS.Grant,4/03/1869,4/03/1877,Republican,Ohio
19,RutherfordB.Hayes,4/03/1877,4/03/1881,Republican,Ohio
20,JamesA.Garfield,4/03/1881,19/09/1881,Republican,Ohio
21,ChesterA.Arthur,19/09/1881,4/03/1885,Republican,NewYork
22,GroverCleveland,4/03/1885,4/03/1889,Democratic,NewYork
23,BenjaminHarrison,4/03/1889,4/03/1893,Republican,Indiana
24,GroverCleveland(2ndterm),4/03/1893,4/03/1897,Democratic,NewYork
25,WilliamMcKinley,4/03/1897,14/9/1901,Republican,Ohio
26,TheodoreRoosevelt,14/9/1901,4/3/1909,Republican,NewYork
27,WilliamHowardTaft,4/3/1909,4/03/1913,Republican,Ohio
28,WoodrowWilson,4/03/1913,4/03/1921,Democratic,NewJersey
29,WarrenG.Harding,4/03/1921,2/8/1923,Republican,Ohio
30,CalvinCoolidge,2/8/1923,4/03/1929,Republican,Massachusetts
31,HerbertHoover,4/03/1929,4/03/1933,Republican,Iowa
32,FranklinD.Roosevelt,4/03/1933,12/4/1945,Democratic,NewYork
33,HarryS.Truman,12/4/1945,20/01/1953,Democratic,Missouri
34,DwightD.Eisenhower,20/01/1953,20/01/1961,Republican,Texas
35,JohnF.Kennedy,20/01/1961,22/11/1963,Democratic,Massachusetts
36,LyndonB.Johnson,22/11/1963,20/1/1969,Democratic,Texas
37,RichardNixon,20/1/1969,9/8/1974,Republican,California
38,GeraldFord,9/8/1974,20/01/1977,Republican,Michigan
39,JimmyCarter,20/01/1977,20/01/1981,Democratic,Georgia
40,RonaldReagan,20/01/1981,20/01/1989,Republican,California
41,GeorgeH.W.Bush,20/01/1989,20/01/1993,Republican,Texas
42,BillClinton,20/01/1993,20/01/2001,Democratic,Arkansas
43,GeorgeW.Bush,20/01/2001,20/01/2009,Republican,Texas
44,BarackObama,20/01/2009,20/01/2017,Democratic,Illinois
45,DonaldTrump,20/01/2017,Incumbent,Republican,NewYork
